name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	47	30	503	687	7
2	-71	77	403	568	8
3	62	-47	780	906	13
4	-3	-45	833	955	1
5	59	-24	695	799	5
6	-45	45	1766	1881	7
7	-66	-16	1772	1858	15
8	-84	64	1930	2082	21
9	70	76	1668	1795	20
10	16	-65	689	815	14
11	95	-32	651	805	9
12	-32	75	971	1072	7
13	56	60	1076	1181	15
14	48	8	1829	1937	1
15	48	83	1367	1413	24
16	60	-24	647	845	8
17	-7	-66	302	506	7
18	-4	6	843	918	17
19	-93	-32	1649	1738	4
20	-72	-72	673	827	2
21	29	-86	81	283	10
22	42	47	1581	1619	4
23	-99	-5	1232	1376	22
24	-3	-61	211	307	11
